Test,Time,VerdictPolygon
Polygon #1,3,Accepted
Polygon #2,4,Accepted
Polygon #3,7,Accepted
Polygon #4,7,Accepted
Polygon #5,3,Accepted
Polygon #6,5,Accepted
Polygon #7,3,Accepted
Polygon #8,3,Accepted
Polygon #9,4,Accepted
Polygon #10,3,Accepted
Polygon #11,3,Accepted
Polygon #12,1,Accepted
Polygon #13,3,Accepted
Polygon #14,3,Accepted
Polygon #15,5,Accepted
Polygon #16,3,Accepted
Polygon #17,5,Accepted
Polygon #18,4,Accepted
Polygon #19,22,Accepted
Polygon #20,7,Accepted
Polygon #21,15,Accepted
Polygon #22,10,Accepted
Polygon #23,8,Accepted
Polygon #24,16,Accepted
Polygon #25,8,Accepted
Polygon #26,8,Accepted
Polygon #27,13,Accepted
Polygon #28,15,Accepted
Polygon #29,7,Accepted
Polygon #30,17,Accepted
Polygon #31,16,Accepted
Polygon #32,7,Accepted
Polygon #33,8,Accepted
Polygon #34,6,Accepted
Polygon #35,11,Accepted
Polygon #36,10,Accepted
Polygon #37,12,Accepted
Polygon #38,14,Accepted
Polygon #39,8,Accepted
Polygon #40,12,Accepted
Polygon #41,20,Accepted
Polygon #42,9,Accepted
Polygon #43,6,Accepted
Polygon #44,8,Accepted
Polygon #45,10,Accepted
Polygon #46,9,Accepted
Polygon #47,7,Accepted
Polygon #48,8,Accepted
Polygon #49,40,Accepted
Polygon #50,8,Accepted
Polygon #51,28,Accepted
Polygon #52,16,Accepted
Polygon #53,30,Accepted
Polygon #54,27,Accepted
Polygon #55,30,Accepted
Polygon #56,21,Accepted
Polygon #57,33,Accepted
Polygon #58,32,Accepted
Polygon #59,20,Accepted
Polygon #60,19,Accepted
Polygon #61,39,Accepted
Polygon #62,34,Accepted
Polygon #63,27,Accepted
Polygon #64,19,Accepted
Polygon #65,41,Accepted
Polygon #66,28,Accepted
Polygon #67,20,Accepted
Polygon #68,32,Accepted
Polygon #69,26,Accepted
Polygon #70,35,Accepted
Polygon #71,32,Accepted
Polygon #72,34,Accepted
Polygon #73,27,Accepted
Polygon #74,27,Accepted
Polygon #75,31,Accepted
Polygon #76,34,Accepted
Polygon #77,29,Accepted
Polygon #78,20,Accepted
Polygon #79,21,Accepted
Polygon #80,28,Accepted
Polygon #81,32,Accepted
Polygon #82,37,Accepted
Polygon #83,27,Accepted
Polygon #84,26,Accepted
Polygon #85,41,Accepted
Polygon #86,32,Accepted
Polygon #87,34,Accepted
Polygon #88,24,Accepted
Polygon #89,32,Accepted
Polygon #90,28,Accepted
Polygon #91,22,Accepted
Polygon #92,18,Accepted
Polygon #93,29,Accepted
Polygon #94,29,Accepted
Polygon #95,21,Accepted
Polygon #96,28,Accepted
Polygon #97,28,Accepted
Polygon #98,25,Accepted
Polygon #99,25,Accepted
Polygon #100,51,Accepted
Polygon #101,126,Accepted
Polygon #102,60,Accepted
Polygon #103,107,Accepted
Polygon #104,91,Accepted
Polygon #105,107,Accepted
Polygon #106,109,Accepted
Polygon #107,190,Accepted
Polygon #108,89,Accepted
Polygon #109,99,Accepted
Polygon #110,67,Accepted
Polygon #111,87,Accepted
Polygon #112,95,Accepted
Polygon #113,67,Accepted
Polygon #114,108,Accepted
Polygon #115,86,Accepted
Polygon #116,121,Accepted
Polygon #117,110,Accepted
Polygon #118,86,Accepted
Polygon #119,47,Accepted
Polygon #120,79,Accepted
Polygon #121,119,Accepted
Polygon #122,101,Accepted
Polygon #123,93,Accepted
Polygon #124,83,Accepted
Polygon #125,86,Accepted
Polygon #126,75,Accepted
Polygon #127,81,Accepted
Polygon #128,82,Accepted
Polygon #129,93,Accepted
Polygon #130,93,Accepted
Polygon #131,269,Accepted
Polygon #132,124,Accepted
Polygon #133,69,Accepted
Polygon #134,81,Accepted
Polygon #135,110,Accepted
Polygon #136,81,Accepted
Polygon #137,84,Accepted
Polygon #138,88,Accepted
Polygon #139,88,Accepted
Polygon #140,117,Accepted
Polygon #141,109,Accepted
Polygon #142,81,Accepted
Polygon #143,172,Accepted
Polygon #144,76,Accepted
Polygon #145,133,Accepted
Polygon #146,70,Accepted
Polygon #147,73,Accepted
Polygon #148,102,Accepted
Polygon #149,74,Accepted
Polygon #150,105,Accepted
Polygon #151,274,Accepted
Polygon #152,253,Accepted
Polygon #153,222,Accepted
Polygon #154,252,Accepted
Polygon #155,264,Accepted
Polygon #156,291,Accepted
Polygon #157,268,Accepted
Polygon #158,257,Accepted
Polygon #159,269,Accepted
Polygon #160,366,Accepted
Polygon #161,257,Accepted
Polygon #162,224,Accepted
Polygon #163,249,Accepted
Polygon #164,208,Accepted
Polygon #165,232,Accepted
Polygon #166,233,Accepted
Polygon #167,224,Accepted
Polygon #168,297,Accepted
Polygon #169,221,Accepted
Polygon #170,326,Accepted
Polygon #171,251,Accepted
Polygon #172,295,Accepted
Polygon #173,274,Accepted
Polygon #174,318,Accepted
Polygon #175,384,Accepted
Polygon #176,5831,Accepted
Polygon #177,8026,Accepted
Polygon #178,8598,Accepted
Polygon #179,6002,Accepted
Polygon #180,6073,Accepted
Polygon #181,4960,Accepted
Polygon #182,4840,Accepted
Polygon #183,6472,Accepted
Polygon #184,4641,Accepted
Polygon #185,5422,Accepted
Polygon #186,4667,Accepted
Polygon #187,4263,Accepted
Polygon #188,6257,Accepted
Polygon #189,6425,Accepted
Polygon #190,6201,Accepted
Polygon #191,4506,Accepted
Polygon #192,4509,Accepted
Polygon #193,6146,Accepted
Polygon #194,4660,Accepted
Polygon #195,4596,Accepted
Polygon #196,6857,Accepted
Polygon #197,7519,Accepted
Polygon #198,7361,Accepted
Polygon #199,4839,Accepted
Polygon #200,5015,Accepted
Polygon #201,25255,Accepted
Polygon #202,28128,Accepted
Polygon #203,29855,Accepted
Polygon #204,30015,Accepted
Polygon #205,25224,Accepted
Polygon #206,27674,Accepted
Polygon #207,27059,Accepted
Polygon #208,29849,Accepted
Polygon #209,27827,Accepted
Polygon #210,22192,Accepted
Polygon #211,1743503,Accepted
Polygon #212,2177720,Accepted
Polygon #213,1803341,Accepted
Polygon #214,3108633,Accepted
Polygon #215,1452155,Accepted
